City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,qui nhon,13.7667,109.2333,297.36,89,100,7.38,VN,1733722989
1,north battleford,52.7834,-108.2847,269.2,93,100,6.17,CA,1733722990
2,basco,20.4487,121.9702,297.87,69,96,11.4,PH,1733722991
3,yarmouth,41.7057,-70.2286,278.15,80,19,0.89,US,1733722992
4,port-aux-francais,-49.35,70.2167,275.29,74,96,10.85,TF,1733722993
5,al jawf,29.5,38.75,285.06,61,0,2.47,SA,1733722994
6,tofol,5.3248,163.0078,302.03,79,75,4.12,FM,1733722995
7,carnarvon,-24.8667,113.6333,298.38,74,58,7.87,AU,1733722996
8,laojunmiao,39.8333,97.7333,265.57,61,100,2.76,CN,1733722997
9,palangkaraya,-2.2,113.8333,303.05,78,96,1.41,ID,1733722998
10,peace river,56.2501,-117.286,270.32,86,100,0.0,CA,1733722826
11,gakem,6.7658,8.9881,295.12,33,100,3.03,NG,1733723001
12,aasiaat,68.7098,-52.8699,258.61,86,82,3.52,GL,1733723002
13,carmarthen,51.8555,-4.3054,281.11,71,100,4.63,GB,1733722911
14,juneau,58.3019,-134.4197,276.15,97,100,4.12,US,1733723004
15,kyzyl-suu,42.3414,78.0056,265.74,88,93,1.11,KG,1733723005
16,haiku-pauwela,20.9219,-156.3051,296.16,76,0,5.81,US,1733723006
17,pocone,-16.2567,-56.6228,297.43,79,100,1.74,BR,1733723007
18,waitangi,-43.9535,-176.5597,289.16,97,100,3.13,NZ,1733723008
19,tolanaro,-25.0319,46.9987,298.19,83,75,6.17,MG,1733723009
20,adamstown,-25.066,-130.1015,296.02,76,2,9.1,PN,1733723010
21,bethel,41.3712,-73.414,277.81,77,0,2.57,US,1733722792
22,ushuaia,-54.8,-68.3,279.96,81,0,1.54,AR,1733723012
23,invercargill,-46.4,168.35,287.6,66,34,7.6,NZ,1733723013
24,kaa-khem,51.6833,94.7333,260.87,91,82,0.78,RU,1733722822
25,grytviken,-54.2811,-36.5092,273.5,78,81,4.32,GS,1733723015
26,saint-pierre,-21.3393,55.4781,301.97,65,0,6.17,RE,1733723016
27,ghat,24.9647,10.1728,284.94,15,24,2.07,LY,1733723018
28,xai-xai,-25.0519,33.6442,302.92,65,28,2.36,MZ,1733723019
29,as sulayyil,20.4607,45.5779,294.41,35,10,1.92,SA,1733723020
30,san patricio,28.017,-97.5169,286.12,86,100,3.79,US,1733723021
31,pangai,-19.8,-174.35,300.21,89,20,5.66,TO,1733723022
32,hadibu,12.65,54.0333,298.98,59,84,7.87,YE,1733723023
33,san antonio de pale,-1.4014,5.6325,299.72,81,100,2.97,GQ,1733723024
34,chrysoupolis,40.9856,24.6939,286.42,93,20,2.57,GR,1733723025
35,talara,-4.5772,-81.2719,293.79,80,74,5.93,PE,1733723026
36,caleta de carquin,-11.0925,-77.6267,292.41,88,84,3.25,PE,1733723027
37,esil,51.9556,66.4042,255.79,96,57,2.15,KZ,1733723028
38,patong,7.8961,98.2966,302.23,70,100,2.57,TH,1733723029
39,blackmans bay,-43.0167,147.3167,291.33,53,44,0.89,AU,1733723030
40,alice springs,-23.7,133.8833,300.9,74,75,2.57,AU,1733723031
41,north bend,43.4065,-124.2243,280.1,93,100,1.54,US,1733723032
42,klyuchi,52.2667,79.1667,255.52,94,95,2.05,RU,1733723033
43,cabo san lucas,22.8909,-109.9124,294.32,39,40,4.63,MX,1733723034
44,puerto natales,-51.7236,-72.4875,279.33,74,100,1.76,CL,1733723035
45,edinburgh of the seven seas,-37.0676,-12.3116,288.32,88,100,5.01,SH,1733723037
46,stanley,54.868,-1.6985,279.0,81,40,5.14,GB,1733722840
47,kavaratti,10.5669,72.642,300.81,78,49,5.14,IN,1733723039
48,arraial do cabo,-22.9661,-42.0278,296.84,92,97,1.1,BR,1733723040
49,jeremoabo,-10.075,-38.4808,293.01,96,15,2.56,BR,1733722859
50,kuching,1.55,110.3333,304.27,77,40,3.09,MY,1733722914
51,kone,-21.0595,164.8658,302.28,60,54,2.54,NC,1733723045
52,dohad,22.8333,74.2667,296.11,11,8,4.12,IN,1733723046
53,atafu village,-8.5421,-172.5159,301.79,68,100,4.77,TK,1733723047
54,espanola,35.9911,-106.0806,279.14,38,64,1.77,US,1733723048
55,chonchi,-42.6128,-73.8092,280.99,96,20,1.0,CL,1733723049
56,labuan,5.2767,115.2417,304.35,66,20,1.54,MY,1733723050
57,margaret river,-33.95,115.0667,296.18,50,0,8.07,AU,1733723051
58,sola,-13.8833,167.55,300.77,77,100,3.95,VU,1733723052
59,el granada,37.5027,-122.4694,288.18,68,0,0.0,US,1733723054
60,bilibino,68.0546,166.4372,246.61,85,91,0.74,RU,1733723055
61,severo-yeniseyskiy,60.3725,93.0408,255.98,92,100,4.56,RU,1733723056
62,udachny,66.4167,112.4,238.42,100,92,1.94,RU,1733723057
63,kirchberg,50.6167,12.5333,274.12,92,100,4.56,DE,1733723058
64,vorgashor,67.5833,63.95,262.82,95,100,7.23,RU,1733723059
65,tura,25.5198,90.2201,297.47,43,47,2.0,IN,1733723060
66,puerto baquerizo moreno,-0.9,-89.6,295.84,84,97,4.98,EC,1733723061
67,hasaki,35.7333,140.8333,284.54,29,1,3.67,JP,1733723062
68,ulsteinvik,62.3432,5.8487,276.35,87,78,0.89,NO,1733723063
69,ust-nera,64.5667,143.2,250.59,98,100,1.4,RU,1733723064
70,west island,-12.1568,96.8225,301.14,83,100,9.77,CC,1733723065
71,hotan,37.0997,79.9269,274.75,39,98,3.95,CN,1733723066
72,onega,63.9061,38.1404,270.29,97,100,3.82,RU,1733722831
73,vorkuta,67.5,64.0,262.92,95,100,7.18,RU,1733723068
74,saurimo,-9.6608,20.3916,293.65,82,90,0.24,AO,1733723069
75,alofi,-19.0595,-169.9187,300.09,83,84,5.14,NU,1733723070
76,esquel,-42.9,-71.3167,277.9,86,42,2.67,AR,1733723049
77,revda,56.801,59.9303,264.82,64,100,4.49,RU,1733723072
78,hithadhoo,-0.6,73.0833,301.01,71,11,7.32,MV,1733723074
79,manggar,-2.8833,108.2667,305.23,57,100,5.24,ID,1733723076
80,colonia,50.9333,6.95,278.69,82,75,3.09,DE,1733722859
81,isafjordur,66.0755,-23.124,275.42,92,99,3.47,IS,1733723078
82,coquimbo,-29.9533,-71.3436,287.0,88,0,0.0,CL,1733722907
83,kalmunai,7.4167,81.8167,301.33,70,98,6.07,LK,1733723080
84,montepuez,-13.1256,38.9997,300.73,59,41,1.83,MZ,1733723081
85,punta arenas,-53.15,-70.9167,282.21,61,0,5.66,CL,1733723082
86,zaozersk,69.4005,32.4476,272.6,80,85,8.35,RU,1733723083
