City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kirensk,57.7853,108.1119,258.28,87,79,3.89,RU,1733728138
1,puerto natales,-51.7236,-72.4875,279.09,75,100,1.42,CL,1733728141
2,aasiaat,68.7098,-52.8699,257.92,87,52,3.09,GL,1733728142
3,ushuaia,-54.8,-68.3,275.71,97,100,2.64,AR,1733728143
4,waitangi,-43.9535,-176.5597,289.16,97,100,3.58,NZ,1733728144
5,adamstown,-25.066,-130.1015,295.94,74,1,8.83,PN,1733728145
6,asan-maina village,13.4722,144.7165,302.11,77,40,3.6,GU,1733728146
7,la punta,-33.1837,-66.3127,288.55,60,47,6.88,AR,1733728147
8,ankazobe,-18.3167,47.1167,298.5,34,0,3.82,MG,1733728148
9,papatowai,-46.5619,169.4708,286.37,58,1,7.95,NZ,1733728150
10,grytviken,-54.2811,-36.5092,273.63,77,20,4.36,GS,1733728151
11,iqaluit,63.7506,-68.5145,252.42,70,99,8.94,CA,1733728004
12,ust-tsilma,65.441,52.1498,265.0,95,100,2.76,RU,1733728153
13,lagoa,39.05,-27.9833,290.49,79,83,7.87,PT,1733728155
14,margate,51.3813,1.3862,280.76,80,100,2.68,GB,1733728157
15,isafjordur,66.0755,-23.124,275.62,93,100,2.8,IS,1733728158
16,port-aux-francais,-49.35,70.2167,275.52,73,90,10.59,TF,1733728159
17,margaret river,-33.95,115.0667,295.09,51,0,8.52,AU,1733728160
18,cabo san lucas,22.8909,-109.9124,294.13,38,95,2.86,MX,1733728161
19,la ronge,55.1001,-105.2842,264.27,86,100,5.66,CA,1733728162
20,geraldton,-28.7667,114.6,300.38,57,0,11.32,AU,1733727888
21,haiku-pauwela,20.9219,-156.3051,296.16,79,40,6.69,US,1733728164
22,dali,25.7,100.1833,289.46,43,4,4.49,CN,1733728165
23,hamilton,39.1834,-84.5333,283.94,93,100,7.72,US,1733728111
24,bethel,41.3712,-73.414,277.12,84,0,0.45,US,1733727948
25,badger,64.8,-147.5333,269.46,90,0,2.06,US,1733728168
26,yigo village,13.5361,144.8886,301.34,76,40,3.6,GU,1733728169
27,tindouf,27.6711,-8.1474,285.17,85,81,4.23,DZ,1733728170
28,hilo,19.7297,-155.09,295.0,95,40,1.54,US,1733728171
29,vorgashor,67.5833,63.95,262.93,95,100,7.17,RU,1733728172
30,new norfolk,-42.7826,147.0587,291.32,62,100,4.11,AU,1733728173
31,lushun,38.8,121.2667,280.27,44,45,6.96,CN,1733728175
32,bardai,11.65,7.2333,289.64,27,0,5.26,NG,1733728176
33,cody,44.5263,-109.0565,270.38,56,20,1.54,US,1733727878
34,punta arenas,-53.15,-70.9167,281.21,71,100,8.23,CL,1733728178
35,kuala terengganu,5.3302,103.1408,299.79,88,100,3.58,MY,1733728179
36,blackmans bay,-43.0167,147.3167,290.66,62,100,0.89,AU,1733728180
37,arraial do cabo,-22.9661,-42.0278,296.49,91,100,0.66,BR,1733728181
38,stanley,54.868,-1.6985,279.0,83,75,2.06,GB,1733728182
39,alice springs,-23.7,133.8833,299.9,83,100,5.14,AU,1733728183
40,ust-nera,64.5667,143.2,250.74,99,100,1.58,RU,1733728184
41,anadyr,64.75,177.4833,256.43,85,75,4.0,RU,1733728185
42,edinburgh of the seven seas,-37.0676,-12.3116,288.47,90,100,5.25,SH,1733728186
43,whitehorse,60.7161,-135.0538,261.1,84,98,1.79,CA,1733728187
44,olonkinbyen,70.9221,-8.7187,272.84,98,100,4.61,SJ,1733728188
